Drug 1,Drug 2,Interaction Description
Metronidazole,Amiodarone,The metabolism of Amiodarone can be decreased when combined with Metronidazole.
Methylphenidate,Amiodarone,The metabolism of Amiodarone can be decreased when combined with Methylphenidate.
Metoprolol,Sildenafil,The serum concentration of Sildenafil can be increased when it is combined with Metoprolol.
Prednisone,Sildenafil,The metabolism of Sildenafil can be decreased when combined with Prednisone.
Tamoxifen,Sildenafil,The metabolism of Sildenafil can be decreased when combined with Tamoxifen.
Carvedilol,Sildenafil,The serum concentration of Sildenafil can be increased when it is combined with Carvedilol.
Warfarin,Sildenafil,The metabolism of Sildenafil can be decreased when combined with Warfarin.
Rosiglitazone,Sildenafil,The metabolism of Sildenafil can be decreased when combined with Rosiglitazone.
Pioglitazone,Sildenafil,The metabolism of Sildenafil can be decreased when combined with Pioglitazone.
Bromocriptine,Sildenafil,The metabolism of Sildenafil can be decreased when combined with Bromocriptine.
Fluticasone Propionate,Sildenafil,The metabolism of Sildenafil can be decreased when combined with Fluticasone propionate.
Naproxen,Sildenafil,The metabolism of Sildenafil can be decreased when combined with Naproxen.
Ibuprofen,Sildenafil,The metabolism of Sildenafil can be decreased when combined with Ibuprofen.
Citalopram,Sildenafil,The metabolism of Sildenafil can be decreased when combined with Citalopram.
Quetiapine,Sildenafil,The metabolism of Sildenafil can be decreased when combined with Quetiapine.
Escitalopram,Sildenafil,The metabolism of Sildenafil can be decreased when combined with Escitalopram.
Pravastatin,Sildenafil,The metabolism of Sildenafil can be decreased when combined with Pravastatin.
Simvastatin,Sildenafil,The metabolism of Sildenafil can be decreased when combined with Simvastatin.
Rosuvastatin,Sildenafil,The metabolism of Sildenafil can be decreased when combined with Rosuvastatin.
Ondansetron,Sildenafil,The metabolism of Sildenafil can be decreased when combined with Ondansetron.
Fentanyl,Sildenafil,The serum concentration of Sildenafil can be increased when it is combined with Fentanyl.
Tramadol,Sildenafil,The metabolism of Sildenafil can be decreased when combined with Tramadol.
Aripiprazole,Sildenafil,The serum concentration of Sildenafil can be increased when it is combined with Aripiprazole.
Morphine,Sildenafil,The metabolism of Sildenafil can be decreased when combined with Morphine.
Esomeprazole,Sildenafil,The metabolism of Sildenafil can be decreased when combined with Esomeprazole.
Omeprazole,Sildenafil,The metabolism of Sildenafil can be decreased when combined with Omeprazole.
Clopidogrel,Sildenafil,The metabolism of Sildenafil can be decreased when combined with Clopidogrel.
Mirtazapine,Sildenafil,The metabolism of Sildenafil can be decreased when combined with Mirtazapine.
Trazodone,Sildenafil,The metabolism of Sildenafil can be decreased when combined with Trazodone.
Alprazolam,Sildenafil,The metabolism of Sildenafil can be decreased when combined with Alprazolam.
Cyclobenzaprine,Sildenafil,The metabolism of Sildenafil can be decreased when combined with Cyclobenzaprine.
Diazepam,Sildenafil,The metabolism of Sildenafil can be decreased when combined with Diazepam.
Loratadine,Sildenafil,The metabolism of Sildenafil can be decreased when combined with Loratadine.
Risperidone,Sildenafil,The metabolism of Sildenafil can be decreased when combined with Risperidone.
Venlafaxine,Sildenafil,The metabolism of Sildenafil can be decreased when combined with Venlafaxine.
Sertraline,Sildenafil,The metabolism of Sildenafil can be decreased when combined with Sertraline.
Cephalexin,Sildenafil,The metabolism of Sildenafil can be decreased when combined with Cephalexin.
Levothyroxine,Sildenafil,The metabolism of Sildenafil can be decreased when combined with Levothyroxine.
Clonazepam,Sildenafil,The metabolism of Sildenafil can be decreased when combined with Clonazepam.
Isosorbide Mononitrate,Sildenafil,The metabolism of Sildenafil can be decreased when combined with Isosorbide mononitrate.
Metronidazole,Sildenafil,The metabolism of Sildenafil can be decreased when combined with Metronidazole.
Atenolol,Ibuprofen,Atenolol may decrease the antihypertensive activities of Ibuprofen.
Metoprolol,Ibuprofen,Metoprolol may decrease the antihypertensive activities of Ibuprofen.
Methotrexate,Ibuprofen,The serum concentration of Ibuprofen can be increased when it is combined with Methotrexate.
Carvedilol,Ibuprofen,Carvedilol may decrease the antihypertensive activities of Ibuprofen.
Propranolol,Ibuprofen,Propranolol may decrease the antihypertensive activities of Ibuprofen.
Warfarin,Ibuprofen,Warfarin may increase the anticoagulant activities of Ibuprofen.
Naproxen,Ibuprofen,The risk or severity of adverse effects can be increased when Naproxen is combined with Ibuprofen.
Lisinopril,Ibuprofen,The risk or severity of adverse effects can be increased when Lisinopril is combined with Ibuprofen.
Enalapril,Ibuprofen,The risk or severity of adverse effects can be increased when Enalapril is combined with Ibuprofen.
Bromocriptine,Metoprolol,Bromocriptine may increase the atrioventricular blocking (AV block) activities of Metoprolol.
Fentanyl,Metoprolol,Fentanyl may increase the bradycardic activities of Metoprolol.
Morphine,Metoprolol,The risk or severity of adverse effects can be increased when Morphine is combined with Metoprolol.
Trazodone,Metoprolol,The metabolism of Metoprolol can be decreased when combined with Trazodone.
Cyclobenzaprine,Metoprolol,The metabolism of Metoprolol can be decreased when combined with Cyclobenzaprine.
Cephalexin,Metoprolol,The metabolism of Metoprolol can be decreased when combined with Cephalexin.
Memantine,Metoprolol,Memantine may increase the bradycardic activities of Metoprolol.
Atenolol,Losartan,The risk or severity of adverse effects can be increased when Atenolol is combined with Losartan.
Metoprolol,Losartan,The risk or severity of adverse effects can be increased when Metoprolol is combined with Losartan.
Ciprofloxacin,Losartan,Ciprofloxacin may increase the arrhythmogenic activities of Losartan.
Chlorthalidone,Losartan,The risk or severity of adverse effects can be increased when Chlorthalidone is combined with Losartan.
Tamoxifen,Losartan,The metabolism of Losartan can be decreased when combined with Tamoxifen.
Carvedilol,Losartan,The serum concentration of Losartan can be increased when it is combined with Carvedilol.
Propranolol,Losartan,The risk or severity of adverse effects can be increased when Propranolol is combined with Losartan.
Warfarin,Losartan,The metabolism of Losartan can be decreased when combined with Warfarin.
Rosiglitazone,Losartan,The metabolism of Losartan can be decreased when combined with Rosiglitazone.
Pioglitazone,Losartan,The metabolism of Losartan can be decreased when combined with Pioglitazone.
Bromocriptine,Losartan,The risk or severity of adverse effects can be increased when Bromocriptine is combined with Losartan.
Naproxen,Losartan,The metabolism of Losartan can be decreased when combined with Naproxen.
Ibuprofen,Losartan,The metabolism of Losartan can be decreased when combined with Ibuprofen.
Fluoxetine,Losartan,The metabolism of Losartan can be decreased when combined with Fluoxetine.
Pravastatin,Losartan,The metabolism of Losartan can be decreased when combined with Pravastatin.
Simvastatin,Losartan,The metabolism of Losartan can be decreased when combined with Simvastatin.
Rosuvastatin,Losartan,The metabolism of Losartan can be decreased when combined with Rosuvastatin.
Ondansetron,Losartan,The metabolism of Losartan can be decreased when combined with Ondansetron.
Amphetamine,Losartan,Amphetamine may increase the hypotensive activities of Losartan.
Sildenafil,Losartan,Sildenafil may increase the antihypertensive activities of Losartan.
Aripiprazole,Losartan,Aripiprazole may increase the hypotensive activities of Losartan.
Morphine,Losartan,The risk or severity of adverse effects can be increased when Morphine is combined with Losartan.
Amlodipine,Losartan,The risk or severity of adverse effects can be increased when Amlodipine is combined with Losartan.
Omeprazole,Losartan,The metabolism of Losartan can be decreased when combined with Omeprazole.
Clopidogrel,Losartan,The metabolism of Losartan can be decreased when combined with Clopidogrel.
Mirtazapine,Losartan,The metabolism of Losartan can be decreased when combined with Mirtazapine.
Alprazolam,Losartan,The metabolism of Losartan can be decreased when combined with Alprazolam.
Diazepam,Losartan,The metabolism of Losartan can be decreased when combined with Diazepam.
Loratadine,Losartan,The metabolism of Losartan can be decreased when combined with Loratadine.
Sertraline,Losartan,The metabolism of Losartan can be decreased when combined with Sertraline.
Bupropion,Losartan,The metabolism of Losartan can be decreased when combined with Bupropion.
Latanoprost,Losartan,Latanoprost may increase the hypotensive activities of Losartan.
Metronidazole,Losartan,The metabolism of Losartan can be decreased when combined with Metronidazole.
Metoprolol,Aripiprazole,The serum concentration of Aripiprazole can be increased when it is combined with Metoprolol.
Ciprofloxacin,Aripiprazole,Ciprofloxacin may increase the QTc-prolonging activities of Aripiprazole.
Levofloxacin,Aripiprazole,Levofloxacin may increase the QTc-prolonging activities of Aripiprazole.
Prednisone,Aripiprazole,The serum concentration of Aripiprazole can be decreased when it is combined with Prednisone.
Tamoxifen,Aripiprazole,The serum concentration of Aripiprazole can be decreased when it is combined with Tamoxifen.
Pioglitazone,Aripiprazole,The serum concentration of Aripiprazole can be decreased when it is combined with Pioglitazone.
Fluoxetine,Aripiprazole,The risk or severity of adverse effects can be increased when Fluoxetine is combined with Aripiprazole.
Escitalopram,Aripiprazole,Escitalopram may increase the QTc-prolonging activities of Aripiprazole.
Simvastatin,Aripiprazole,The serum concentration of Aripiprazole can be decreased when it is combined with Simvastatin.
Ondansetron,Aripiprazole,Ondansetron may increase the QTc-prolonging activities of Aripiprazole.
Amphetamine,Aripiprazole,Amphetamine may decrease the stimulatory activities of Aripiprazole.
Fentanyl,Aripiprazole,The risk or severity of adverse effects can be increased when Fentanyl is combined with Aripiprazole.
Tramadol,Aripiprazole,The risk or severity of adverse effects can be increased when Tramadol is combined with Aripiprazole.
Omeprazole,Aripiprazole,The serum concentration of Aripiprazole can be decreased when it is combined with Omeprazole.
Olanzapine,Aripiprazole,The risk or severity of adverse effects can be increased when Olanzapine is combined with Aripiprazole.
Pregabalin,Aripiprazole,The therapeutic efficacy of Aripiprazole can be increased when used in combination with Pregabalin.
Mirtazapine,Aripiprazole,Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Aripiprazole.
Alprazolam,Aripiprazole,The risk or severity of adverse effects can be increased when Alprazolam is combined with Aripiprazole.
Lorazepam,Aripiprazole,The risk or severity of adverse effects can be increased when Lorazepam is combined with Aripiprazole.
Cyclobenzaprine,Aripiprazole,The risk or severity of adverse effects can be increased when Cyclobenzaprine is combined with Aripiprazole.
Gabapentin,Aripiprazole,The risk or severity of adverse effects can be increased when Gabapentin is combined with Aripiprazole.
Diazepam,Aripiprazole,The risk or severity of adverse effects can be increased when Diazepam is combined with Aripiprazole.
Loratadine,Aripiprazole,The serum concentration of Aripiprazole can be decreased when it is combined with Loratadine.
Risperidone,Aripiprazole,The risk or severity of adverse effects can be increased when Risperidone is combined with Aripiprazole.
Paroxetine,Aripiprazole,The risk or severity of adverse effects can be increased when Paroxetine is combined with Aripiprazole.
Sertraline,Aripiprazole,The risk or severity of adverse effects can be increased when Sertraline is combined with Aripiprazole.
Atorvastatin,Aripiprazole,The serum concentration of Aripiprazole can be decreased when it is combined with Atorvastatin.
Atenolol,Sertraline,The serum concentration of Sertraline can be increased when it is combined with Atenolol.
Metoprolol,Sertraline,The serum concentration of Sertraline can be increased when it is combined with Metoprolol.
Ciprofloxacin,Sertraline,Ciprofloxacin may increase the QTc-prolonging activities of Sertraline.
Levofloxacin,Sertraline,Levofloxacin may increase the QTc-prolonging activities of Sertraline.
Chlorthalidone,Sertraline,Chlorthalidone may increase the hyponatremic activities of Sertraline.
Hydrochlorothiazide,Sertraline,Hydrochlorothiazide may increase the hyponatremic activities of Sertraline.
Carvedilol,Sertraline,The metabolism of Sertraline can be decreased when combined with Carvedilol.
Propranolol,Sertraline,The metabolism of Sertraline can be decreased when combined with Propranolol.
Warfarin,Sertraline,The metabolism of Sertraline can be decreased when combined with Warfarin.
Rosiglitazone,Sertraline,Rosiglitazone may increase the hypoglycemic activities of Sertraline.
Pioglitazone,Sertraline,Pioglitazone may increase the hypoglycemic activities of Sertraline.
Metformin,Sertraline,Metformin may increase the hypoglycemic activities of Sertraline.
Fluticasone Propionate,Sertraline,The risk or severity of adverse effects can be increased when Fluticasone propionate is combined with Sertraline.
Ibuprofen,Sertraline,The metabolism of Sertraline can be decreased when combined with Ibuprofen.
Citalopram,Sertraline,The serum concentration of Sertraline can be increased when it is combined with Citalopram.
Fluoxetine,Sertraline,Fluoxetine may increase the QTc-prolonging activities of Sertraline.
Quetiapine,Sertraline,Quetiapine may increase the QTc-prolonging activities of Sertraline.
Escitalopram,Sertraline,Escitalopram may increase the QTc-prolonging activities of Sertraline.
Pravastatin,Sertraline,The serum concentration of Sertraline can be increased when it is combined with Pravastatin.
Simvastatin,Sertraline,The metabolism of Sertraline can be decreased when combined with Simvastatin.
Rosuvastatin,Sertraline,The metabolism of Sertraline can be decreased when combined with Rosuvastatin.
Ondansetron,Sertraline,Ondansetron may increase the QTc-prolonging activities of Sertraline.
Amphetamine,Sertraline,The metabolism of Sertraline can be decreased when combined with Amphetamine.
Fentanyl,Sertraline,The risk or severity of adverse effects can be increased when Fentanyl is combined with Sertraline.
Morphine,Sertraline,The metabolism of Sertraline can be decreased when combined with Morphine.
Ranitidine,Sertraline,The metabolism of Sertraline can be decreased when combined with Ranitidine.
Duloxetine,Sertraline,The risk or severity of adverse effects can be increased when Duloxetine is combined with Sertraline.
Olanzapine,Sertraline,Olanzapine may increase the serotonergic activities of Sertraline.
Pregabalin,Sertraline,The risk or severity of adverse effects can be increased when Pregabalin is combined with Sertraline.
Trazodone,Sertraline,The risk or severity of adverse effects can be increased when Trazodone is combined with Sertraline.
Alprazolam,Sertraline,The risk or severity of adverse effects can be increased when Alprazolam is combined with Sertraline.
Lorazepam,Sertraline,The risk or severity of adverse effects can be increased when Lorazepam is combined with Sertraline.
Cetirizine,Sertraline,The risk or severity of adverse effects can be increased when Cetirizine is combined with Sertraline.
Lamotrigine,Sertraline,The risk or severity of adverse effects can be increased when Lamotrigine is combined with Sertraline.
Gabapentin,Sertraline,The risk or severity of adverse effects can be increased when Gabapentin is combined with Sertraline.
Diazepam,Sertraline,The metabolism of Sertraline can be decreased when combined with Diazepam.
Loratadine,Sertraline,The metabolism of Sertraline can be decreased when combined with Loratadine.
Risperidone,Sertraline,The metabolism of Sertraline can be decreased when combined with Risperidone.
Venlafaxine,Sertraline,The risk or severity of adverse effects can be increased when Venlafaxine is combined with Sertraline.
Cephalexin,Sertraline,The metabolism of Sertraline can be decreased when combined with Cephalexin.
Amoxicillin,Sertraline,The metabolism of Sertraline can be decreased when combined with Amoxicillin.
Bupropion,Sertraline,The serum concentration of Sertraline can be increased when it is combined with Bupropion.
Clonazepam,Sertraline,The risk or severity of adverse effects can be increased when Clonazepam is combined with Sertraline.
Methylphenidate,Sertraline,The metabolism of Sertraline can be decreased when combined with Methylphenidate.
Levetiracetam,Sertraline,The risk or severity of adverse effects can be increased when Levetiracetam is combined with Sertraline.
Metoprolol,Bupropion,The serum concentration of Bupropion can be increased when it is combined with Metoprolol.
Tamoxifen,Bupropion,The serum concentration of Bupropion can be increased when it is combined with Tamoxifen.
Carvedilol,Bupropion,The metabolism of Bupropion can be decreased when combined with Carvedilol.
Propranolol,Bupropion,The metabolism of Bupropion can be decreased when combined with Propranolol.
Metformin,Bupropion,The serum concentration of Bupropion can be increased when it is combined with Metformin.
Bromocriptine,Bupropion,The risk or severity of adverse effects can be increased when Bromocriptine is combined with Bupropion.
Quetiapine,Bupropion,The metabolism of Bupropion can be decreased when combined with Quetiapine.
Escitalopram,Bupropion,The metabolism of Bupropion can be decreased when combined with Escitalopram.
Simvastatin,Bupropion,The metabolism of Bupropion can be decreased when combined with Simvastatin.
Ondansetron,Bupropion,The metabolism of Bupropion can be decreased when combined with Ondansetron.
Amphetamine,Bupropion,The metabolism of Bupropion can be decreased when combined with Amphetamine.
Amphetamine,Bupropion,The risk or severity of adverse effects can be increased when Amphetamine is combined with Bupropion.
Sildenafil,Bupropion,The metabolism of Bupropion can be decreased when combined with Sildenafil.
Aripiprazole,Bupropion,The serum concentration of Bupropion can be increased when it is combined with Aripiprazole.
Morphine,Bupropion,The metabolism of Bupropion can be decreased when combined with Morphine.
Ranitidine,Bupropion,The metabolism of Bupropion can be decreased when combined with Ranitidine.
Duloxetine,Bupropion,The serum concentration of Bupropion can be increased when it is combined with Duloxetine.
Olanzapine,Bupropion,The metabolism of Bupropion can be decreased when combined with Olanzapine.
Mirtazapine,Bupropion,The metabolism of Bupropion can be decreased when combined with Mirtazapine.
Trazodone,Bupropion,The metabolism of Bupropion can be decreased when combined with Trazodone.
Cyclobenzaprine,Bupropion,The metabolism of Bupropion can be decreased when combined with Cyclobenzaprine.
Loratadine,Bupropion,The metabolism of Bupropion can be decreased when combined with Loratadine.
Risperidone,Bupropion,The metabolism of Bupropion can be decreased when combined with Risperidone.
Cephalexin,Bupropion,The metabolism of Bupropion can be decreased when combined with Cephalexin.
Memantine,Bupropion,The serum concentration of Bupropion can be increased when it is combined with Memantine.
Methylphenidate,Bupropion,The metabolism of Bupropion can be decreased when combined with Methylphenidate.
Atenolol,Paroxetine,The serum concentration of Paroxetine can be increased when it is combined with Atenolol.
Metoprolol,Paroxetine,The serum concentration of Paroxetine can be increased when it is combined with Metoprolol.
Ciprofloxacin,Paroxetine,Ciprofloxacin may increase the QTc-prolonging activities of Paroxetine.
Levofloxacin,Paroxetine,Levofloxacin may increase the QTc-prolonging activities of Paroxetine.
Chlorthalidone,Paroxetine,Chlorthalidone may increase the hyponatremic activities of Paroxetine.
Hydrochlorothiazide,Paroxetine,Hydrochlorothiazide may increase the hyponatremic activities of Paroxetine.
Tamoxifen,Paroxetine,The serum concentration of Paroxetine can be increased when it is combined with Tamoxifen.
Carvedilol,Paroxetine,The metabolism of Paroxetine can be decreased when combined with Carvedilol.
Propranolol,Paroxetine,The metabolism of Paroxetine can be decreased when combined with Propranolol.
Warfarin,Paroxetine,Warfarin may increase the anticoagulant activities of Paroxetine.
Rosiglitazone,Paroxetine,Rosiglitazone may increase the hypoglycemic activities of Paroxetine.
Pioglitazone,Paroxetine,Pioglitazone may increase the hypoglycemic activities of Paroxetine.
Metformin,Paroxetine,Metformin may increase the hypoglycemic activities of Paroxetine.
Fluticasone Propionate,Paroxetine,The risk or severity of adverse effects can be increased when Fluticasone propionate is combined with Paroxetine.
Citalopram,Paroxetine,Citalopram may increase the QTc-prolonging activities of Paroxetine.
Amiodarone,Paroxetine,Amiodarone may increase the QTc-prolonging activities of Paroxetine.
Fluoxetine,Paroxetine,Fluoxetine may increase the QTc-prolonging activities of Paroxetine.
Quetiapine,Paroxetine,Quetiapine may increase the QTc-prolonging activities of Paroxetine.
Escitalopram,Paroxetine,Escitalopram may increase the QTc-prolonging activities of Paroxetine.
Pravastatin,Paroxetine,The risk or severity of adverse effects can be increased when Pravastatin is combined with Paroxetine.
Simvastatin,Paroxetine,The metabolism of Paroxetine can be decreased when combined with Simvastatin.
Ondansetron,Paroxetine,The metabolism of Paroxetine can be decreased when combined with Ondansetron.
Amphetamine,Paroxetine,The metabolism of Paroxetine can be decreased when combined with Amphetamine.
Sildenafil,Paroxetine,The metabolism of Paroxetine can be decreased when combined with Sildenafil.
Morphine,Paroxetine,The metabolism of Paroxetine can be decreased when combined with Morphine.
Ranitidine,Paroxetine,The metabolism of Paroxetine can be decreased when combined with Ranitidine.
Olanzapine,Paroxetine,The metabolism of Paroxetine can be decreased when combined with Olanzapine.
Clopidogrel,Paroxetine,The metabolism of Paroxetine can be decreased when combined with Clopidogrel.
Pregabalin,Paroxetine,The risk or severity of adverse effects can be increased when Pregabalin is combined with Paroxetine.
Trazodone,Paroxetine,The metabolism of Paroxetine can be decreased when combined with Trazodone.
Alprazolam,Paroxetine,The risk or severity of adverse effects can be increased when Alprazolam is combined with Paroxetine.
Lorazepam,Paroxetine,The risk or severity of adverse effects can be increased when Lorazepam is combined with Paroxetine.
Cetirizine,Paroxetine,The risk or severity of adverse effects can be increased when Cetirizine is combined with Paroxetine.
Lamotrigine,Paroxetine,The risk or severity of adverse effects can be increased when Lamotrigine is combined with Paroxetine.
Gabapentin,Paroxetine,The risk or severity of adverse effects can be increased when Gabapentin is combined with Paroxetine.
Diazepam,Paroxetine,The metabolism of Paroxetine can be decreased when combined with Diazepam.
Loratadine,Paroxetine,The metabolism of Paroxetine can be decreased when combined with Loratadine.
Risperidone,Paroxetine,The metabolism of Paroxetine can be decreased when combined with Risperidone.
Venlafaxine,Paroxetine,The metabolism of Paroxetine can be decreased when combined with Venlafaxine.
Sertraline,Paroxetine,The metabolism of Paroxetine can be decreased when combined with Sertraline.
Cephalexin,Paroxetine,The metabolism of Paroxetine can be decreased when combined with Cephalexin.
Bupropion,Paroxetine,The risk or severity of adverse effects can be increased when Bupropion is combined with Paroxetine.
Clonazepam,Paroxetine,The risk or severity of adverse effects can be increased when Clonazepam is combined with Paroxetine.
Methylphenidate,Paroxetine,The metabolism of Paroxetine can be decreased when combined with Methylphenidate.
Levetiracetam,Paroxetine,The risk or severity of adverse effects can be increased when Levetiracetam is combined with Paroxetine.
Atenolol,Fluoxetine,The serum concentration of Fluoxetine can be increased when it is combined with Atenolol.
Metoprolol,Fluoxetine,The serum concentration of Fluoxetine can be increased when it is combined with Metoprolol.
Chlorthalidone,Fluoxetine,Chlorthalidone may increase the hyponatremic activities of Fluoxetine.
Hydrochlorothiazide,Fluoxetine,Hydrochlorothiazide may increase the hyponatremic activities of Fluoxetine.
Tamoxifen,Fluoxetine,The serum concentration of Fluoxetine can be increased when it is combined with Tamoxifen.
Carvedilol,Fluoxetine,The metabolism of Fluoxetine can be decreased when combined with Carvedilol.
Propranolol,Fluoxetine,The metabolism of Fluoxetine can be decreased when combined with Propranolol.
Warfarin,Fluoxetine,The metabolism of Fluoxetine can be decreased when combined with Warfarin.
Rosiglitazone,Fluoxetine,Rosiglitazone may increase the hypoglycemic activities of Fluoxetine.
Pioglitazone,Fluoxetine,Pioglitazone may increase the hypoglycemic activities of Fluoxetine.
Metformin,Fluoxetine,Metformin may increase the hypoglycemic activities of Fluoxetine.
Fluticasone Propionate,Fluoxetine,The risk or severity of adverse effects can be increased when Fluticasone propionate is combined with Fluoxetine.
Ibuprofen,Fluoxetine,The metabolism of Fluoxetine can be decreased when combined with Ibuprofen.
Citalopram,Fluoxetine,The serum concentration of Fluoxetine can be increased when it is combined with Citalopram.
Quetiapine,Fluoxetine,The metabolism of Fluoxetine can be decreased when combined with Quetiapine.
Escitalopram,Fluoxetine,The metabolism of Fluoxetine can be decreased when combined with Escitalopram.
Pravastatin,Fluoxetine,The serum concentration of Fluoxetine can be increased when it is combined with Pravastatin.
Simvastatin,Fluoxetine,The metabolism of Fluoxetine can be decreased when combined with Simvastatin.
Rosuvastatin,Fluoxetine,The metabolism of Fluoxetine can be decreased when combined with Rosuvastatin.
Ondansetron,Fluoxetine,The metabolism of Fluoxetine can be decreased when combined with Ondansetron.
Amphetamine,Fluoxetine,The metabolism of Fluoxetine can be decreased when combined with Amphetamine.
Sildenafil,Fluoxetine,The metabolism of Fluoxetine can be decreased when combined with Sildenafil.
Morphine,Fluoxetine,The metabolism of Fluoxetine can be decreased when combined with Morphine.
Ranitidine,Fluoxetine,The metabolism of Fluoxetine can be decreased when combined with Ranitidine.
Duloxetine,Fluoxetine,The serum concentration of Fluoxetine can be increased when it is combined with Duloxetine.
Pregabalin,Fluoxetine,The risk or severity of adverse effects can be increased when Pregabalin is combined with Fluoxetine.
Alprazolam,Fluoxetine,The risk or severity of adverse effects can be increased when Alprazolam is combined with Fluoxetine.
Lorazepam,Fluoxetine,The risk or severity of adverse effects can be increased when Lorazepam is combined with Fluoxetine.
Cetirizine,Fluoxetine,The risk or severity of adverse effects can be increased when Cetirizine is combined with Fluoxetine.
Lamotrigine,Fluoxetine,The risk or severity of adverse effects can be increased when Lamotrigine is combined with Fluoxetine.
Gabapentin,Fluoxetine,The risk or severity of adverse effects can be increased when Gabapentin is combined with Fluoxetine.
Diazepam,Fluoxetine,The metabolism of Fluoxetine can be decreased when combined with Diazepam.
Loratadine,Fluoxetine,The metabolism of Fluoxetine can be decreased when combined with Loratadine.
Risperidone,Fluoxetine,The metabolism of Fluoxetine can be decreased when combined with Risperidone.
Cephalexin,Fluoxetine,The metabolism of Fluoxetine can be decreased when combined with Cephalexin.
Amoxicillin,Fluoxetine,The metabolism of Fluoxetine can be decreased when combined with Amoxicillin.
Bupropion,Fluoxetine,The risk or severity of adverse effects can be increased when Bupropion is combined with Fluoxetine.
Clonazepam,Fluoxetine,The risk or severity of adverse effects can be increased when Clonazepam is combined with Fluoxetine.
Methylphenidate,Fluoxetine,The metabolism of Fluoxetine can be decreased when combined with Methylphenidate.
Levetiracetam,Fluoxetine,The risk or severity of adverse effects can be increased when Levetiracetam is combined with Fluoxetine.
Atenolol,Duloxetine,Atenolol may increase the orthostatic hypotensive activities of Duloxetine.
Metoprolol,Duloxetine,The serum concentration of Duloxetine can be increased when it is combined with Metoprolol.
Furosemide,Duloxetine,Furosemide may increase the orthostatic hypotensive activities of Duloxetine.
Chlorthalidone,Duloxetine,Chlorthalidone may increase the orthostatic hypotensive activities of Duloxetine.
Hydrochlorothiazide,Duloxetine,Hydrochlorothiazide may increase the orthostatic hypotensive activities of Duloxetine.
Carvedilol,Duloxetine,Carvedilol may increase the orthostatic hypotensive activities of Duloxetine.
Propranolol,Duloxetine,Propranolol may increase the orthostatic hypotensive activities of Duloxetine.
Warfarin,Duloxetine,Warfarin may increase the anticoagulant activities of Duloxetine.
Rosiglitazone,Duloxetine,Rosiglitazone may increase the hypoglycemic activities of Duloxetine.
Pioglitazone,Duloxetine,Pioglitazone may increase the hypoglycemic activities of Duloxetine.
Metformin,Duloxetine,Metformin may increase the hypoglycemic activities of Duloxetine.
Bromocriptine,Duloxetine,Bromocriptine may increase the orthostatic hypotensive activities of Duloxetine.
Fluticasone Propionate,Duloxetine,The risk or severity of adverse effects can be increased when Fluticasone propionate is combined with Duloxetine.
Citalopram,Duloxetine,The risk or severity of adverse effects can be increased when Citalopram is combined with Duloxetine.
Amiodarone,Duloxetine,Amiodarone may increase the orthostatic hypotensive activities of Duloxetine.
Quetiapine,Duloxetine,Quetiapine may increase the orthostatic hypotensive activities of Duloxetine.
Simvastatin,Duloxetine,The metabolism of Duloxetine can be decreased when combined with Simvastatin.
Amphetamine,Duloxetine,The metabolism of Duloxetine can be decreased when combined with Amphetamine.
Sildenafil,Duloxetine,The metabolism of Duloxetine can be decreased when combined with Sildenafil.
Aripiprazole,Duloxetine,The risk or severity of adverse effects can be increased when Aripiprazole is combined with Duloxetine.
Morphine,Duloxetine,Morphine may increase the orthostatic hypotensive activities of Duloxetine.
Amlodipine,Duloxetine,Amlodipine may increase the orthostatic hypotensive activities of Duloxetine.
Lisinopril,Duloxetine,Lisinopril may increase the orthostatic hypotensive activities of Duloxetine.
Enalapril,Duloxetine,Enalapril may increase the orthostatic hypotensive activities of Duloxetine.
Losartan,Duloxetine,Losartan may increase the orthostatic hypotensive activities of Duloxetine.
Ranitidine,Duloxetine,The metabolism of Duloxetine can be decreased when combined with Ranitidine.
Olanzapine,Duloxetine,Olanzapine may increase the serotonergic activities of Duloxetine.
Pregabalin,Duloxetine,The risk or severity of adverse effects can be increased when Pregabalin is combined with Duloxetine.
Mirtazapine,Duloxetine,Mirtazapine may increase the serotonergic activities of Duloxetine.
Trazodone,Duloxetine,The risk or severity of adverse effects can be increased when Trazodone is combined with Duloxetine.
Alprazolam,Duloxetine,The risk or severity of adverse effects can be increased when Alprazolam is combined with Duloxetine.
Lorazepam,Duloxetine,The risk or severity of adverse effects can be increased when Lorazepam is combined with Duloxetine.
Cetirizine,Duloxetine,The risk or severity of adverse effects can be increased when Cetirizine is combined with Duloxetine.
Lamotrigine,Duloxetine,The risk or severity of adverse effects can be increased when Lamotrigine is combined with Duloxetine.
Cyclobenzaprine,Duloxetine,Cyclobenzaprine may increase the serotonergic activities of Duloxetine.
Gabapentin,Duloxetine,The risk or severity of adverse effects can be increased when Gabapentin is combined with Duloxetine.
Diazepam,Duloxetine,The risk or severity of adverse effects can be increased when Diazepam is combined with Duloxetine.
Loratadine,Duloxetine,The metabolism of Duloxetine can be decreased when combined with Loratadine.
Risperidone,Duloxetine,The metabolism of Duloxetine can be decreased when combined with Risperidone.
Venlafaxine,Duloxetine,The risk or severity of adverse effects can be increased when Venlafaxine is combined with Duloxetine.
